order_id,customer_id,order_date,ship_date,ship_mode,product_id,product_name,division,sales,units,gross_profit,unit_price,cost,target
US-2021-128055-CHO-TRI-54000,128055,31-03-2021,26-09-2026,Standard Class,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,7.5,2,4.9,3.75,2.6,27000
US-2021-128055-CHO-SCR-58000,128055,31-03-2021,26-09-2026,Standard Class,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,7.2,2,5,3.6,2.2,27000
US-2021-138100-CHO-FUD-51000,138100,15-09-2021,13-03-2027,Standard Class,CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,7.2,2,4.8,3.6,2.4,27000
US-2021-138100-CHO-MIL-31000,138100,15-09-2021,13-03-2027,Standard Class,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,9.75,3,6.33,3.25,3.42,27000
US-2022-121391-CHO-MIL-31000,121391,04-10-2022,29-03-2028,First Class,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,6.5,2,4.22,3.25,2.28,27000
US-2023-103982-CHO-SCR-58000,103982,03-03-2023,28-08-2028,Standard Class,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,3.6,1,2.5,3.6,1.1,27000
US-2023-103982-CHO-NUT-13000,103982,03-03-2023,28-08-2028,Standard Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,10.47,3,7.47,3.49,3,27000
US-2023-103982-CHO-FUD-51000,103982,03-03-2023,28-08-2028,Standard Class,CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,25.2,7,16.8,3.6,8.4,27000
US-2023-103982-CHO-MIL-31000,103982,03-03-2023,28-08-2028,Standard Class,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,9.75,3,6.33,3.25,3.42,27000
US-2024-147039-CHO-NUT-13000,147039,29-06-2024,25-12-2029,Standard Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,10.47,3,7.47,3.49,3,27000
US-2024-147039-CHO-NUT-13000,147039,29-06-2024,25-12-2029,Standard Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,6.98,2,4.98,3.49,2,27000
US-2021-158064-CHO-MIL-31000,158064,21-04-2021,16-10-2026,Standard Class,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,16.25,5,10.55,3.25,5.7,27000
US-2021-130729-CHO-MIL-31000,130729,24-10-2021,21-04-2027,Standard Class,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,9.75,3,6.33,3.25,3.42,27000
US-2022-140921-CHO-TRI-54000,140921,03-02-2022,29-07-2027,First Class,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,7.5,2,4.9,3.75,2.6,27000
US-2022-140921-CHO-NUT-13000,140921,03-02-2022,29-07-2027,First Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,10.47,3,7.47,3.49,3,27000
US-2022-109939-CHO-SCR-58000,109939,08-05-2022,02-11-2027,Standard Class,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,7.2,2,5,3.6,2.2,27000
US-2022-114503-CHO-NUT-13000,114503,13-11-2022,09-05-2028,Standard Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,20.94,6,14.94,3.49,6,27000
US-2023-126613-CHO-TRI-54000,126613,10-07-2023,05-01-2029,Standard Class,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,7.5,2,4.9,3.75,2.6,27000
US-2023-131065-CHO-NUT-13000,131065,14-11-2023,08-05-2029,Second Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,6.98,2,4.98,3.49,2,27000
US-2023-131065-CHO-SCR-58000,131065,14-11-2023,08-05-2029,Second Class,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,3.6,1,2.5,3.6,1.1,27000
US-2023-131065-CHO-NUT-13000,131065,14-11-2023,08-05-2029,Second Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,6.98,2,4.98,3.49,2,27000
US-2024-169488-CHO-MIL-31000,169488,07-09-2024,02-03-2030,First Class,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,6.5,2,4.22,3.25,2.28,27000
US-2024-169488-CHO-TRI-54000,169488,07-09-2024,02-03-2030,First Class,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,18.75,5,12.25,3.75,6.5,27000
US-2024-100230-CHO-NUT-13000,100230,11-12-2024,07-06-2030,Standard Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,3.49,1,2.49,3.49,1,27000
US-2024-100230-CHO-TRI-54000,100230,11-12-2024,07-06-2030,Standard Class,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,11.25,3,7.35,3.75,3.9,27000
US-2024-100230-CHO-NUT-13000,100230,11-12-2024,07-06-2030,Standard Class,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,6.98,2,4.98,3.49,2,27000
